image_id,disease,base_id,disease_list,match
bacterial_spot_1,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_10,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_100,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_1000,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_101,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_102,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_103,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_104,"['early_blight', 'bacterial_spot', 'rust']",bacterial_spot,"['early_blight', 'bacterial_spot', 'rust']",1
bacterial_spot_105,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_106,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_107,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_108,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_109,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_11,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_110,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_111,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_112,['rust'],bacterial_spot,['rust'],0
bacterial_spot_113,['rust'],bacterial_spot,['rust'],0
bacterial_spot_114,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_115,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_116,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_117,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_118,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_119,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_12,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_120,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_121,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_122,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_123,['early_blight'],bacterial_spot,['early_blight'],0
bacterial_spot_124,['healthy'],bacterial_spot,['healthy'],0
bacterial_spot_125,['leaf_curl'],bacterial_spot,['leaf_curl'],0
bacterial_spot_126,"['early_blight', 'leaf_curl', 'bacterial_spot', 'rust']",bacterial_spot,"['early_blight', 'leaf_curl', 'bacterial_spot', 'rust']",1
