image_id,disease,base_id,disease_list,match
bacterial_spot_104,"['early_blight', 'bacterial_spot', 'rust']",bacterial_spot,"['early_blight', 'bacterial_spot', 'rust']",1
bacterial_spot_105,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_108,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_109,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_117,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_119,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_121,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_126,"['early_blight', 'leaf_curl', 'bacterial_spot', 'rust']",bacterial_spot,"['early_blight', 'leaf_curl', 'bacterial_spot', 'rust']",1
bacterial_spot_128,"['leaf_curl', 'bacterial_spot']",bacterial_spot,"['leaf_curl', 'bacterial_spot']",1
bacterial_spot_130,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_131,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_14,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_145,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_150,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_156,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_158,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_161,"['early_blight', 'bacterial_spot', 'rust']",bacterial_spot,"['early_blight', 'bacterial_spot', 'rust']",1
bacterial_spot_163,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_168,"['early_blight', 'bacterial_spot']",bacterial_spot,"['early_blight', 'bacterial_spot']",1
bacterial_spot_173,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_174,"['leaf_curl', 'bacterial_spot']",bacterial_spot,"['leaf_curl', 'bacterial_spot']",1
bacterial_spot_176,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_177,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_182,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_186,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_188,"['leaf_curl', 'bacterial_spot', 'rust']",bacterial_spot,"['leaf_curl', 'bacterial_spot', 'rust']",1
bacterial_spot_189,"['early_blight', 'bacterial_spot', 'rust']",bacterial_spot,"['early_blight', 'bacterial_spot', 'rust']",1
bacterial_spot_19,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_190,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_193,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_195,"['early_blight', 'bacterial_spot', 'rust']",bacterial_spot,"['early_blight', 'bacterial_spot', 'rust']",1
bacterial_spot_2,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_201,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_202,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_214,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_217,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_22,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_224,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_225,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_229,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_230,"['early_blight', 'bacterial_spot', 'rust']",bacterial_spot,"['early_blight', 'bacterial_spot', 'rust']",1
bacterial_spot_234,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_239,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_244,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_246,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_249,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_25,"['leaf_curl', 'bacterial_spot']",bacterial_spot,"['leaf_curl', 'bacterial_spot']",1
bacterial_spot_250,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_251,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_252,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_256,"['bacterial_spot', 'rust']",bacterial_spot,"['bacterial_spot', 'rust']",1
bacterial_spot_260,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
bacterial_spot_261,['bacterial_spot'],bacterial_spot,['bacterial_spot'],1
