brown_lesion_count,lesion_diameter,ring_count,yellow_area_percent,avg_irregularity,hsv_shift,edge_roughness,curl_index,texture_entropy,internode_length,mean_green_intensity,branch_count,speck_count,rust_area_percent,pustule_count,droop_angle,image_id,disease
0,0.0,20,0.0,23.497937046000107,56.41,0.037628173828125,1.0,294.4211902390438,Manual measurement required,100.6925048828125,Manual or skeleton-based count,10,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_1,bacterial
0,0.0,34,0.09,19.00249407328889,50.85,0.0396270751953125,1.0,285.28503174800795,Manual measurement required,107.34837341308594,Manual or skeleton-based count,0,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_10,bacterial
2,0.33,104,3.68,11.976284045727462,32.07,0.054229736328125,1.0,264.52847983067727,Manual measurement required,102.39720153808594,Manual or skeleton-based count,0,0.60882568359375,3,Requires keypoint estimation or manual measurement,bacterial_spot_11,bacterial
2,0.34,14,45.56,4.30013795877369,14.8,0.0536956787109375,1.0,327.97614230577693,Manual measurement required,124.99581909179688,Manual or skeleton-based count,3,0.65155029296875,9,Requires keypoint estimation or manual measurement,bacterial_spot_12,bacterial
2,0.22,68,16.11,5.994089202957775,24.72,0.070159912109375,1.0,435.20466571215144,Manual measurement required,102.87217712402344,Manual or skeleton-based count,3,0.091552734375,0,Requires keypoint estimation or manual measurement,bacterial_spot_13,bacterial
2,0.34,50,0.05,9.72110575573653,75.47,0.0469818115234375,1.0,491.2590263944224,Manual measurement required,129.40863037109375,Manual or skeleton-based count,0,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_14,bacterial
2,0.34,94,9.11,15.780317442960696,36.52,0.071380615234375,1.0,315.8696464143427,Manual measurement required,114.79440307617188,Manual or skeleton-based count,2,0.18310546875,1,Requires keypoint estimation or manual measurement,bacterial_spot_15,bacterial
3,0.17,24,0.13,13.68909389403649,44.52,0.0331573486328125,1.0,221.91960283864543,Manual measurement required,107.20960998535156,Manual or skeleton-based count,1,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_16,bacterial
2,0.25,31,0.35,20.05909552439849,58.88,0.0384368896484375,1.0,324.54085221613553,Manual measurement required,114.49627685546875,Manual or skeleton-based count,6,0.0457763671875,1,Requires keypoint estimation or manual measurement,bacterial_spot_17,bacterial
0,0.0,29,0.0,12.315378060294062,56.66,0.044403076171875,1.0,351.8293077689244,Manual measurement required,109.90057373046875,Manual or skeleton-based count,4,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_18,bacterial
1,0.24,25,20.33,6.107544332172829,13.52,0.097686767578125,1.0,640.9464641434263,Manual measurement required,128.9465789794922,Manual or skeleton-based count,1,0.494384765625,3,Requires keypoint estimation or manual measurement,bacterial_spot_19,bacterial
0,0.0,3,12.78,6.849525328432897,29.03,0.055908203125,1.0,446.1940363545817,Manual measurement required,138.6558074951172,Manual or skeleton-based count,1,0.87127685546875,4,Requires keypoint estimation or manual measurement,bacterial_spot_2,bacterial
0,0.0,9,15.68,4.7222626674189225,21.25,0.0377960205078125,1.0,289.5982320717132,Manual measurement required,127.80802917480469,Manual or skeleton-based count,4,0.006103515625,0,Requires keypoint estimation or manual measurement,bacterial_spot_20,bacterial
0,0.0,1,9.81,8.307600770683296,23.86,0.0401458740234375,1.0,249.86801232569724,Manual measurement required,149.43714904785156,Manual or skeleton-based count,1,0.04119873046875,0,Requires keypoint estimation or manual measurement,bacterial_spot_21,bacterial
0,0.0,28,0.0,20.383566422333253,60.94,0.0171966552734375,1.0,169.63152079183268,Manual measurement required,118.82942199707031,Manual or skeleton-based count,0,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_22,bacterial
0,0.0,17,0.01,16.076315905255594,53.76,0.03662109375,1.0,253.85727402888446,Manual measurement required,96.72077941894531,Manual or skeleton-based count,3,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_23,bacterial
0,0.0,106,3.35,10.992514881216369,47.29,0.048828125,1.0,237.63401083167338,Manual measurement required,107.08146667480469,Manual or skeleton-based count,0,0.26397705078125,1,Requires keypoint estimation or manual measurement,bacterial_spot_24,bacterial
0,0.0,49,0.6,15.290158069676004,38.02,0.0421295166015625,1.0,252.34880789342634,Manual measurement required,110.99763488769531,Manual or skeleton-based count,0,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_25,bacterial
0,0.0,10,18.76,8.142905195454594,15.95,0.03582763671875,1.0,303.1982849850598,Manual measurement required,124.53404235839844,Manual or skeleton-based count,2,0.21820068359375,3,Requires keypoint estimation or manual measurement,bacterial_spot_26,bacterial
3,0.17,36,2.62,27.80376123951852,36.13,0.0435333251953125,1.0,265.550547808765,Manual measurement required,111.05409240722656,Manual or skeleton-based count,1,0.1190185546875,1,Requires keypoint estimation or manual measurement,bacterial_spot_27,bacterial
0,0.0,5,32.61,5.726032252479685,16.1,0.0352935791015625,1.0,262.9702440239044,Manual measurement required,135.88058471679688,Manual or skeleton-based count,0,0.00762939453125,0,Requires keypoint estimation or manual measurement,bacterial_spot_28,bacterial
0,0.0,0,67.24,0.0,9.66,0.048492431640625,1.0,298.9813091384462,Manual measurement required,135.2223663330078,Manual or skeleton-based count,0,0.0335693359375,0,Requires keypoint estimation or manual measurement,bacterial_spot_29,bacterial
0,0.0,6,8.31,0.0,16.83,0.0227508544921875,1.0,158.69310258964143,Manual measurement required,133.48190307617188,Manual or skeleton-based count,0,0.1251220703125,1,Requires keypoint estimation or manual measurement,bacterial_spot_3,bacterial
0,0.0,5,0.01,22.194356325674573,49.15,0.0306549072265625,1.0,283.54212836155386,Manual measurement required,92.86604309082031,Manual or skeleton-based count,2,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_30,bacterial
1,0.2,86,1.48,10.279758460408223,54.1,0.06866455078125,1.0,414.29444721115544,Manual measurement required,104.84953308105469,Manual or skeleton-based count,16,0.01068115234375,0,Requires keypoint estimation or manual measurement,bacterial_spot_31,bacterial
2,0.34,50,2.91,13.099696986293903,36.64,0.0470123291015625,1.0,315.37296127988054,Manual measurement required,104.384765625,Manual or skeleton-based count,8,0.3173828125,2,Requires keypoint estimation or manual measurement,bacterial_spot_32,bacterial
0,0.0,59,4.77,14.126039868323724,40.75,0.0490570068359375,1.0,325.10117343127496,Manual measurement required,109.49058532714844,Manual or skeleton-based count,5,0.09002685546875,1,Requires keypoint estimation or manual measurement,bacterial_spot_33,bacterial
1,0.5,103,1.48,19.341193665729307,42.35,0.0814361572265625,1.0,455.20522597111545,Manual measurement required,111.13031005859375,Manual or skeleton-based count,1,0.00152587890625,0,Requires keypoint estimation or manual measurement,bacterial_spot_34,bacterial
0,0.0,11,0.64,20.115068463768683,47.71,0.033294677734375,1.0,238.50311254980082,Manual measurement required,102.50520324707031,Manual or skeleton-based count,0,0.00762939453125,0,Requires keypoint estimation or manual measurement,bacterial_spot_35,bacterial
1,0.15,9,0.01,20.869157914603903,54.77,0.02899169921875,1.0,225.33080179282868,Manual measurement required,92.44868469238281,Manual or skeleton-based count,2,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_36,bacterial
3,0.29,24,1.85,15.59631301005119,40.93,0.0497283935546875,1.0,299.99218750000006,Manual measurement required,102.69139099121094,Manual or skeleton-based count,10,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_37,bacterial
0,0.0,39,32.6,5.907130243039496,16.32,0.0628662109375,1.0,352.1687157619522,Manual measurement required,117.21231079101562,Manual or skeleton-based count,2,0.59051513671875,5,Requires keypoint estimation or manual measurement,bacterial_spot_38,bacterial
2,0.23,24,0.87,13.304681229359831,46.92,0.03564453125,1.0,232.00413969123505,Manual measurement required,107.28884887695312,Manual or skeleton-based count,2,0.0152587890625,0,Requires keypoint estimation or manual measurement,bacterial_spot_39,bacterial
7,0.25,61,2.94,21.441739730482897,31.09,0.04168701171875,1.0,256.0346271165339,Manual measurement required,88.15115356445312,Manual or skeleton-based count,14,0.18310546875,1,Requires keypoint estimation or manual measurement,bacterial_spot_4,bacterial
1,0.37,9,0.0,15.932234589869132,64.35,0.0205535888671875,1.0,246.91091882470118,Manual measurement required,96.86221313476562,Manual or skeleton-based count,3,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_40,bacterial
0,0.0,75,0.05,15.333003690909358,53.5,0.0614166259765625,1.0,481.7050236553784,Manual measurement required,106.02330017089844,Manual or skeleton-based count,15,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_41,bacterial
1,0.44,10,0.07,21.248537583385037,57.59,0.0424652099609375,1.0,318.4575292579681,Manual measurement required,94.22500610351562,Manual or skeleton-based count,10,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_42,bacterial
1,0.17,74,2.92,8.6188499907455,35.38,0.049224853515625,1.0,354.788782370518,Manual measurement required,106.24240112304688,Manual or skeleton-based count,13,0.13427734375,1,Requires keypoint estimation or manual measurement,bacterial_spot_43,bacterial
2,0.23,53,31.28,6.711038790793373,16.19,0.0355224609375,1.0,236.94184200697214,Manual measurement required,116.76156616210938,Manual or skeleton-based count,3,0.02899169921875,0,Requires keypoint estimation or manual measurement,bacterial_spot_44,bacterial
0,0.0,14,0.22,20.56031253207422,47.74,0.03948974609375,1.0,302.027156997012,Manual measurement required,100.5308837890625,Manual or skeleton-based count,3,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_45,bacterial
1,0.15,72,0.2,9.225705552790844,38.98,0.043701171875,1.0,277.0114074950199,Manual measurement required,115.0660400390625,Manual or skeleton-based count,3,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_46,bacterial
3,0.36,66,8.24,23.25282647969115,46.94,0.0852203369140625,1.0,487.1514877988049,Manual measurement required,95.57733154296875,Manual or skeleton-based count,21,0.3875732421875,0,Requires keypoint estimation or manual measurement,bacterial_spot_47,bacterial
0,0.0,2,26.13,0.0,15.84,0.1059417724609375,1.0,531.0959754731076,Manual measurement required,127.15960693359375,Manual or skeleton-based count,0,0.77972412109375,8,Requires keypoint estimation or manual measurement,bacterial_spot_48,bacterial
3,0.24,114,14.66,22.807404531048327,31.7,0.050445556640625,1.0,273.7294882968128,Manual measurement required,105.96682739257812,Manual or skeleton-based count,0,0.0457763671875,0,Requires keypoint estimation or manual measurement,bacterial_spot_49,bacterial
0,0.0,40,56.32,8.253806643456407,30.48,0.0316314697265625,1.0,192.50463769920316,Manual measurement required,127.18353271484375,Manual or skeleton-based count,2,0.08697509765625,1,Requires keypoint estimation or manual measurement,bacterial_spot_5,bacterial
0,0.0,137,0.15,14.359820600465643,57.77,0.086151123046875,1.0,492.2627925796814,Manual measurement required,115.39503479003906,Manual or skeleton-based count,1,0.0,0,Requires keypoint estimation or manual measurement,bacterial_spot_50,bacterial
0,0.0,108,0.52,8.955514787320595,42.14,0.0628662109375,1.0,379.41919820717135,Manual measurement required,108.42523193359375,Manual or skeleton-based count,2,0.00152587890625,0,Requires keypoint estimation or manual measurement,bacterial_spot_6,bacterial
1,0.16,5,0.56,21.18464720770603,47.37,0.046417236328125,1.0,283.4667268426295,Manual measurement required,98.48521423339844,Manual or skeleton-based count,2,0.1190185546875,1,Requires keypoint estimation or manual measurement,bacterial_spot_7,bacterial
0,0.0,20,37.83,4.578819766546954,18.74,0.04791259765625,1.0,414.89487363047806,Manual measurement required,129.51943969726562,Manual or skeleton-based count,3,0.09765625,1,Requires keypoint estimation or manual measurement,bacterial_spot_8,bacterial
3,0.17,73,1.17,18.396639614379612,35.66,0.0528411865234375,1.0,293.86865039840643,Manual measurement required,107.83712768554688,Manual or skeleton-based count,2,0.00762939453125,0,Requires keypoint estimation or manual measurement,bacterial_spot_9,bacterial
1,0.4,149,7.63,14.059117265089423,47.61,0.1539306640625,1.0,1133.1939274153387,Manual measurement required,108.79025268554688,Manual or skeleton-based count,27,0.00457763671875,0,Requires keypoint estimation or manual measurement,early_blight_1,early
2,0.27,107,3.43,17.58692321632274,38.43,0.187042236328125,1.0,1467.7126027141437,Manual measurement required,106.74606323242188,Manual or skeleton-based count,30,0.12359619140625,2,Requires keypoint estimation or manual measurement,early_blight_10,early
2,0.29,26,28.21,21.864624409651743,22.12,0.2700042724609375,1.0,1531.4368774900402,Manual measurement required,110.86436462402344,Manual or skeleton-based count,8,4.1046142578125,4,Requires keypoint estimation or manual measurement,early_blight_11,early
3,0.52,104,0.57,10.505710938277996,62.89,0.083404541015625,1.0,646.3899713645419,Manual measurement required,113.54994201660156,Manual or skeleton-based count,14,0.0,0,Requires keypoint estimation or manual measurement,early_blight_12,early
0,0.0,60,0.87,12.683122405816697,35.81,0.1467437744140625,1.0,1111.652297061753,Manual measurement required,117.6513671875,Manual or skeleton-based count,4,0.006103515625,0,Requires keypoint estimation or manual measurement,early_blight_13,early
7,0.36,111,11.32,9.12466422965899,35.88,0.1151580810546875,1.0,709.9978212151397,Manual measurement required,100.72207641601562,Manual or skeleton-based count,10,0.20904541015625,2,Requires keypoint estimation or manual measurement,early_blight_14,early
