image_id,disease
bacterial_spot_1,"['Tomato Yellow Leaf Curl', 'Rust']"
bacterial_spot_10,['Tomato Yellow Leaf Curl']
bacterial_spot_11,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_12,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_13,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_14,"['Tomato Yellow Leaf Curl', 'Bacterial Spot']"
bacterial_spot_15,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_16,"['Tomato Yellow Leaf Curl', 'Rust']"
bacterial_spot_17,"['Tomato Yellow Leaf Curl', 'Rust']"
bacterial_spot_18,"['Tomato Yellow Leaf Curl', 'Rust']"
bacterial_spot_19,"['Tomato Yellow Leaf Curl', 'Rust']"
bacterial_spot_2,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_20,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Rust']"
bacterial_spot_21,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_22,['Tomato Yellow Leaf Curl']
bacterial_spot_23,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_24,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_25,['Tomato Yellow Leaf Curl']
bacterial_spot_26,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Rust']"
bacterial_spot_27,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_28,['Tomato Yellow Leaf Curl']
bacterial_spot_29,['Tomato Yellow Leaf Curl']
bacterial_spot_3,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Rust']"
bacterial_spot_30,"['Tomato Yellow Leaf Curl', 'Rust']"
bacterial_spot_31,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_32,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_33,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_34,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_35,"['Tomato Yellow Leaf Curl', 'Bacterial Spot']"
bacterial_spot_36,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_37,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_38,"['Tomato Yellow Leaf Curl', 'Rust']"
